symmetric_ratio,mean_asymmetry,max_asymmetry,instance_type,mutation_type,city_size,distribution,generation_type,range,iteration,generation,optimal_cost
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,1496,4,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,17279,8,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,45830,16,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,58114,19,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,78608,23,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,179416,24,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,179811,29,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,181487,35,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,185593,36,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,464804,37,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,572498,39,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,592077,45,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,592900,51,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,967309,52,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,970666,58,251.0
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.6,1063224,62,251.0
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,2.8,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.0,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,4.6,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,3.2,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,0.8,8578,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.8,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.8,8578,1,303.0
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.8,45837,3,273.0
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.8,65463,5,273.0
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,0.8,4120345,23,277.0
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,2.2,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,2.2,0,0,
1.0,0.0,0.0,initial,swap,20,lognormal,euclidean,2.4,36230,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,36230,1,370.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,229670,2,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,388101,15,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,730014,35,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,1120125,40,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,2004185,56,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,3211254,74,207.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,3864380,94,42.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,4565369,97,42.0
1.0,0.0,0.0,hardest,swap,20,lognormal,euclidean,2.4,5304050,102,42.0
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,0.2,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,3.0,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,3.0,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,2.4,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,5.0,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,5.0,0,0,
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,4.0,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,1.6,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,1.6,0,0,
1.0,0.0,0.0,initial,swap,30,lognormal,euclidean,1.6,0,0,
1.0,0.0,0.0,hardest,swap,30,lognormal,euclidean,1.6,0,0,
1.0,0.0,0.0,initial,scramble,30,lognormal,euclidean,1.0,73383,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,1.0,0,0,
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,1.0,73383,1,329.0
1.0,0.0,0.0,hardest,scramble,30,lognormal,euclidean,1.0,701842,23,297.0
1.0,0.0,0.0,initial,inplace,30,lognormal,euclidean,2.2,340988,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,0,0,
1.0,0.0,0.0,hardest,inplace,30,lognormal,euclidean,2.2,340988,1,398.0
