config,final_hardness,hardness_improvement,trajectory_length,plateau_ratio,improvement_rate,volatility
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.4}",1121944,1081716,21,0.0,"{'slope': 4430.605235402503, 'r_squared': 0.6862605803807127}",125935.20993018593
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.6}",37076,27406,14,0.0,"{'slope': 332.0960259658011, 'r_squared': 0.8391735721165897}",3035.5419956081305
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 1.8}",95162,45763,10,0.0,"{'slope': 1988.224387806097, 'r_squared': 0.44660678912961027}",12256.48127661241
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.0}",180775,174911,41,0.0,"{'slope': 766.6673694223775, 'r_squared': 0.5698449188183541}",14689.643999238886
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.2}",38419,26765,8,0.0,"{'slope': 1337.2805555555556, 'r_squared': 0.8064098017154695}",5503.872788634326
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.4}",93304,82376,34,0.0,"{'slope': 278.3720205234033, 'r_squared': 0.9451826535189132}",3827.414476849107
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 2.8}",28086,27621,25,0.0,"{'slope': 213.72113171084362, 'r_squared': 0.9176332003219998}",4089.7673865443335
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 3.0}",3427200,3414636,15,0.0,"{'slope': 30711.592975799987, 'r_squared': 0.423591913022564}",758955.7995513794
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 3.2}",3436640,3380794,23,0.0,"{'slope': 10288.508017948488, 'r_squared': 0.309511075028463}",563397.4191231369
"{'mutation_type': 'inplace', 'generation_type': 'euclidean', 'distribution': 'lognormal', 'city_size': 20, 'range': 3.6}",996260,913964,10,0.0,"{'slope': 8179.942612601237, 'r_squared': 0.9056605072005809}",261934.0123224894
