Generation,Iterations,Configuration
447,1911,uniform_asymmetric_wouter_30
448,1911,uniform_asymmetric_wouter_30
449,3575,uniform_asymmetric_wouter_30
450,3575,uniform_asymmetric_wouter_30
451,3576,uniform_asymmetric_wouter_30
452,3576,uniform_asymmetric_wouter_30
453,3576,uniform_asymmetric_wouter_30
454,3576,uniform_asymmetric_wouter_30
455,3576,uniform_asymmetric_wouter_30
456,3576,uniform_asymmetric_wouter_30
457,4129,uniform_asymmetric_wouter_30
458,4114,uniform_asymmetric_wouter_30
459,4114,uniform_asymmetric_wouter_30
460,4114,uniform_asymmetric_wouter_30
461,4080,uniform_asymmetric_wouter_30
462,4079,uniform_asymmetric_wouter_30
463,2175,uniform_asymmetric_wouter_30
464,2175,uniform_asymmetric_wouter_30
465,2175,uniform_asymmetric_wouter_30
466,2175,uniform_asymmetric_wouter_30
467,1679,uniform_asymmetric_wouter_30
468,1680,uniform_asymmetric_wouter_30
469,1681,uniform_asymmetric_wouter_30
470,1681,uniform_asymmetric_wouter_30
471,1703,uniform_asymmetric_wouter_30
472,1703,uniform_asymmetric_wouter_30
473,1703,uniform_asymmetric_wouter_30
474,1704,uniform_asymmetric_wouter_30
475,1704,uniform_asymmetric_wouter_30
476,1704,uniform_asymmetric_wouter_30
477,1704,uniform_asymmetric_wouter_30
478,1704,uniform_asymmetric_wouter_30
479,1704,uniform_asymmetric_wouter_30
480,1534,uniform_asymmetric_wouter_30
481,1534,uniform_asymmetric_wouter_30
482,1534,uniform_asymmetric_wouter_30
483,1548,uniform_asymmetric_wouter_30
484,1451,uniform_asymmetric_wouter_30
485,1451,uniform_asymmetric_wouter_30
486,1451,uniform_asymmetric_wouter_30
487,1449,uniform_asymmetric_wouter_30
488,1447,uniform_asymmetric_wouter_30
489,1447,uniform_asymmetric_wouter_30
490,1447,uniform_asymmetric_wouter_30
491,1447,uniform_asymmetric_wouter_30
492,1448,uniform_asymmetric_wouter_30
493,1448,uniform_asymmetric_wouter_30
494,1448,uniform_asymmetric_wouter_30
495,1135,uniform_asymmetric_wouter_30
496,1135,uniform_asymmetric_wouter_30
497,1135,uniform_asymmetric_wouter_30
498,1135,uniform_asymmetric_wouter_30
499,1135,uniform_asymmetric_wouter_30
500,1135,uniform_asymmetric_wouter_30
501,1088,uniform_asymmetric_wouter_30
502,1088,uniform_asymmetric_wouter_30
503,1062,uniform_asymmetric_wouter_30
504,1062,uniform_asymmetric_wouter_30
505,1062,uniform_asymmetric_wouter_30
506,1060,uniform_asymmetric_wouter_30
507,1060,uniform_asymmetric_wouter_30
508,1121,uniform_asymmetric_wouter_30
509,1121,uniform_asymmetric_wouter_30
510,1121,uniform_asymmetric_wouter_30
511,1121,uniform_asymmetric_wouter_30
512,1089,uniform_asymmetric_wouter_30
513,1080,uniform_asymmetric_wouter_30
514,1080,uniform_asymmetric_wouter_30
515,1080,uniform_asymmetric_wouter_30
516,1080,uniform_asymmetric_wouter_30
517,1080,uniform_asymmetric_wouter_30
518,1080,uniform_asymmetric_wouter_30
519,1080,uniform_asymmetric_wouter_30
520,1074,uniform_asymmetric_wouter_30
521,789,uniform_asymmetric_wouter_30
522,789,uniform_asymmetric_wouter_30
523,735,uniform_asymmetric_wouter_30
524,735,uniform_asymmetric_wouter_30
525,735,uniform_asymmetric_wouter_30
526,812,uniform_asymmetric_wouter_30
527,817,uniform_asymmetric_wouter_30
528,848,uniform_asymmetric_wouter_30
529,848,uniform_asymmetric_wouter_30
530,848,uniform_asymmetric_wouter_30
531,939,uniform_asymmetric_wouter_30
532,939,uniform_asymmetric_wouter_30
533,939,uniform_asymmetric_wouter_30
534,952,uniform_asymmetric_wouter_30
535,952,uniform_asymmetric_wouter_30
536,952,uniform_asymmetric_wouter_30
537,952,uniform_asymmetric_wouter_30
538,872,uniform_asymmetric_wouter_30
539,872,uniform_asymmetric_wouter_30
540,872,uniform_asymmetric_wouter_30
541,872,uniform_asymmetric_wouter_30
542,872,uniform_asymmetric_wouter_30
543,917,uniform_asymmetric_wouter_30
544,902,uniform_asymmetric_wouter_30
545,902,uniform_asymmetric_wouter_30
546,902,uniform_asymmetric_wouter_30
547,902,uniform_asymmetric_wouter_30
