Generation,Iterations,Configuration
589,296,uniform_euclidean_wouter_20
590,296,uniform_euclidean_wouter_20
591,313,uniform_euclidean_wouter_20
592,321,uniform_euclidean_wouter_20
593,321,uniform_euclidean_wouter_20
594,163,uniform_euclidean_wouter_20
595,207,uniform_euclidean_wouter_20
596,207,uniform_euclidean_wouter_20
597,213,uniform_euclidean_wouter_20
598,213,uniform_euclidean_wouter_20
599,177,uniform_euclidean_wouter_20
600,177,uniform_euclidean_wouter_20
601,187,uniform_euclidean_wouter_20
602,187,uniform_euclidean_wouter_20
603,187,uniform_euclidean_wouter_20
604,187,uniform_euclidean_wouter_20
605,187,uniform_euclidean_wouter_20
606,189,uniform_euclidean_wouter_20
607,189,uniform_euclidean_wouter_20
608,189,uniform_euclidean_wouter_20
609,368,uniform_euclidean_wouter_20
610,392,uniform_euclidean_wouter_20
611,392,uniform_euclidean_wouter_20
612,392,uniform_euclidean_wouter_20
613,392,uniform_euclidean_wouter_20
614,356,uniform_euclidean_wouter_20
615,287,uniform_euclidean_wouter_20
616,304,uniform_euclidean_wouter_20
617,304,uniform_euclidean_wouter_20
618,384,uniform_euclidean_wouter_20
619,384,uniform_euclidean_wouter_20
620,381,uniform_euclidean_wouter_20
621,381,uniform_euclidean_wouter_20
622,381,uniform_euclidean_wouter_20
623,372,uniform_euclidean_wouter_20
624,372,uniform_euclidean_wouter_20
625,372,uniform_euclidean_wouter_20
626,369,uniform_euclidean_wouter_20
627,292,uniform_euclidean_wouter_20
628,291,uniform_euclidean_wouter_20
629,291,uniform_euclidean_wouter_20
630,291,uniform_euclidean_wouter_20
631,291,uniform_euclidean_wouter_20
632,291,uniform_euclidean_wouter_20
633,292,uniform_euclidean_wouter_20
634,475,uniform_euclidean_wouter_20
635,475,uniform_euclidean_wouter_20
636,475,uniform_euclidean_wouter_20
637,434,uniform_euclidean_wouter_20
638,339,uniform_euclidean_wouter_20
639,336,uniform_euclidean_wouter_20
640,336,uniform_euclidean_wouter_20
641,311,uniform_euclidean_wouter_20
642,327,uniform_euclidean_wouter_20
643,321,uniform_euclidean_wouter_20
644,292,uniform_euclidean_wouter_20
645,292,uniform_euclidean_wouter_20
646,211,uniform_euclidean_wouter_20
647,211,uniform_euclidean_wouter_20
648,211,uniform_euclidean_wouter_20
649,182,uniform_euclidean_wouter_20
650,182,uniform_euclidean_wouter_20
651,182,uniform_euclidean_wouter_20
652,183,uniform_euclidean_wouter_20
653,183,uniform_euclidean_wouter_20
654,184,uniform_euclidean_wouter_20
655,181,uniform_euclidean_wouter_20
656,180,uniform_euclidean_wouter_20
657,182,uniform_euclidean_wouter_20
658,182,uniform_euclidean_wouter_20
659,254,uniform_euclidean_wouter_20
660,309,uniform_euclidean_wouter_20
661,318,uniform_euclidean_wouter_20
662,642,uniform_euclidean_wouter_20
663,655,uniform_euclidean_wouter_20
664,655,uniform_euclidean_wouter_20
665,655,uniform_euclidean_wouter_20
666,655,uniform_euclidean_wouter_20
667,472,uniform_euclidean_wouter_20
668,472,uniform_euclidean_wouter_20
669,522,uniform_euclidean_wouter_20
670,522,uniform_euclidean_wouter_20
671,522,uniform_euclidean_wouter_20
672,522,uniform_euclidean_wouter_20
673,522,uniform_euclidean_wouter_20
674,518,uniform_euclidean_wouter_20
675,531,uniform_euclidean_wouter_20
676,517,uniform_euclidean_wouter_20
677,287,uniform_euclidean_wouter_20
678,287,uniform_euclidean_wouter_20
679,287,uniform_euclidean_wouter_20
680,273,uniform_euclidean_wouter_20
681,273,uniform_euclidean_wouter_20
682,254,uniform_euclidean_wouter_20
683,254,uniform_euclidean_wouter_20
