generation,iterations,hardest_value,optimal_cost,file_path,mutation_type,generation_type,distribution,city_size,range,normed_unique_distances,log_iterations,nearest_neighbor_norm,num_distinct_distances
64,369304,369304,199.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,12.819375432084463,0.9999999999999998,8
78,444812,444812,30.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,13.005406999971868,0.9999999999999998,8
81,488214,488214,30.0,../data/Continuation/lognormal_euclidean/city20_range2.8_swap.json,swap,euclidean,lognormal,20,2.8,0.042105263157894736,13.098509113301644,0.9999999999999998,8
1,3012145,3012145,551.0,../data/Continuation/lognormal_euclidean/city30_range4.6_swap.json,swap,euclidean,lognormal,30,4.6,0.022988505747126436,14.918163007513444,0.9999999999999999,10
3,3822861,3822861,548.0,../data/Continuation/lognormal_euclidean/city30_range4.6_swap.json,swap,euclidean,lognormal,30,4.6,0.022988505747126436,15.156509653137089,1.0000000000000002,10
1,55381,55381,325.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.1,10.921991853622254,1.0,19
8,59707,59707,325.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.10526315789473684,10.997204545438446,1.0,20
22,381656,381656,294.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.10526315789473684,12.852274958313576,1.0,20
30,458832,458832,294.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.11052631578947368,13.036439408971656,1.0,21
47,573869,573869,294.0,../data/Continuation/lognormal_euclidean/city20_range5.0_wouter.json,inplace,euclidean,lognormal,20,5.0,0.11578947368421053,13.260156426258359,1.0,22
