violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio,configuration,iteration,generation,optimal_cost
204,12446.0,61.009803921568626,0.02982456140350877,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",369304,64,199.0
268,23700.0,88.43283582089552,0.0391812865497076,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",444812,78,30.0
266,23700.0,89.09774436090225,0.03888888888888889,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 2.8, 'mutation_type': 'swap'}",488214,81,30.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 4.6, 'mutation_type': 'swap'}",3012145,1,551.0
100,454.0,4.54,0.004105090311986864,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 4.6, 'mutation_type': 'swap'}",3822861,3,548.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",55381,1,325.0
32,1114.0,34.8125,0.004678362573099415,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",59707,8,325.0
68,2182.0,32.088235294117645,0.009941520467836258,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",381656,22,294.0
104,277416.0,2667.4615384615386,0.0152046783625731,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",458832,30,294.0
136,281946.0,2073.1323529411766,0.019883040935672516,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",573869,47,294.0
170,305908.0,1799.4588235294118,0.024853801169590642,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 5.0, 'mutation_type': 'inplace'}",696271,56,294.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.8, 'mutation_type': 'swap'}",1627536,1,388.0
110,2252.0,20.472727272727273,0.00451559934318555,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 30, 'range': 1.8, 'mutation_type': 'swap'}",2548999,4,363.0
0,0.0,0.0,0.0,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.0, 'mutation_type': 'inplace'}",12564,1,336.0
36,869346.0,24148.5,0.005263157894736842,"{'distribution': 'lognormal', 'generation_type': 'euclidean', 'city_size': 20, 'range': 3.0, 'mutation_type': 'inplace'}",13504,2,336.0
