violation_count,total_violation_magnitude,average_violation_magnitude,violation_ratio
22,50.0,2.272727272727273,0.00090311986863711
72,338.0,4.694444444444445,0.002955665024630542
72,338.0,4.694444444444445,0.002955665024630542
72,338.0,4.694444444444445,0.002955665024630542
72,338.0,4.694444444444445,0.002955665024630542
72,338.0,4.694444444444445,0.002955665024630542
72,338.0,4.694444444444445,0.002955665024630542
76,342.0,4.5,0.0031198686371100163
74,340.0,4.594594594594595,0.003037766830870279
76,394.0,5.184210526315789,0.0031198686371100163
76,394.0,5.184210526315789,0.0031198686371100163
76,394.0,5.184210526315789,0.0031198686371100163
78,412.0,5.282051282051282,0.0032019704433497538
78,412.0,5.282051282051282,0.0032019704433497538
112,514.0,4.589285714285714,0.004597701149425287
112,508.0,4.535714285714286,0.004597701149425287
112,508.0,4.535714285714286,0.004597701149425287
108,504.0,4.666666666666667,0.004433497536945813
108,504.0,4.666666666666667,0.004433497536945813
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
106,498.0,4.69811320754717,0.004351395730706076
124,594.0,4.790322580645161,0.005090311986863711
132,612.0,4.636363636363637,0.00541871921182266
130,596.0,4.584615384615384,0.005336617405582923
130,596.0,4.584615384615384,0.005336617405582923
130,608.0,4.676923076923077,0.005336617405582923
164,770.0,4.695121951219512,0.006732348111658457
