mutation_type,generation_type,distribution,city_size,range,mean,median,std,count,max,min
wouter,asymmetric,lognormal,20.0,2.4,1509.701030927835,1268.0,1288.9861339193783,97,4043,0
wouter,asymmetric,lognormal,20.0,3.2,1487.7096774193549,1258.0,1296.6719069841265,93,4344,0
wouter,asymmetric,uniform,20.0,50.0,1162.5736434108528,1256.0,634.39753377705,129,2270,0
swap,asymmetric,lognormal,20.0,1.0,1181.344827586207,1222.0,633.1298802594623,116,2699,0
scramble,asymmetric,uniform,30.0,90.0,2578.8333333333335,1203.5,4054.4698009316417,6,10655,0
swap,asymmetric,lognormal,20.0,4.0,1717.3653846153845,1202.0,1443.5997351395556,104,4550,0
swap,asymmetric,uniform,20.0,75.0,1088.0,1184.0,515.204101131566,80,1780,0
wouter,asymmetric,uniform,20.0,35.0,1176.0105263157895,1177.0,666.4889984046254,95,2382,0
wouter,asymmetric,lognormal,20.0,0.8,1510.155172413793,1171.0,1299.255898103073,116,5408,0
scramble,asymmetric,lognormal,30.0,3.4,1186.7777777777778,1151.0,818.4736980773691,9,2561,0
scramble,asymmetric,lognormal,30.0,2.8,1648.3333333333333,1147.0,1378.825587229944,9,3711,0
wouter,asymmetric,lognormal,30.0,4.2,1341.4303797468353,1141.0,923.8865881606829,79,3655,0
scramble,asymmetric,lognormal,30.0,4.0,1092.6666666666667,1137.5,815.3741881287797,6,2020,0
scramble,asymmetric,uniform,30.0,60.0,2664.1428571428573,1126.0,2609.696178266187,7,6182,0
scramble,asymmetric,lognormal,30.0,3.6,1209.0,1121.0,1120.0221936576588,15,3389,0
swap,asymmetric,uniform,20.0,5.0,971.829268292683,1116.0,508.90671499292483,82,1673,0
swap,asymmetric,lognormal,30.0,4.0,1701.7428571428572,1085.5,1772.6536456431666,70,7142,0
scramble,asymmetric,lognormal,30.0,3.8,1137.2222222222222,1040.0,992.5007276795542,9,3027,0
wouter,asymmetric,uniform,20.0,80.0,948.2456140350877,1030.0,578.0975659344609,57,2033,0
swap,asymmetric,lognormal,20.0,2.8,978.3,1025.0,605.9799559974794,100,2013,0
swap,asymmetric,uniform,20.0,30.0,1023.8536585365854,991.5,521.058848882538,82,1987,0
scramble,asymmetric,lognormal,30.0,3.2,1516.6666666666667,967.0,1170.6445873961918,9,3760,0
swap,asymmetric,lognormal,20.0,2.0,917.5342465753424,955.0,436.48918410272273,73,1526,0
swap,asymmetric,lognormal,20.0,0.6,990.5420560747664,952.0,376.2183298367674,107,1788,0
scramble,asymmetric,lognormal,30.0,4.4,1026.2,933.0,1019.9165161913988,5,2713,0
wouter,asymmetric,lognormal,20.0,3.0,1314.4336283185842,926.0,1007.5865779541351,113,3608,0
scramble,euclidean,uniform,20.0,55.0,5616.2,901.5,11356.448386513963,10,36909,0
swap,asymmetric,uniform,20.0,95.0,981.6705882352941,874.0,466.71349394909697,85,1754,0
wouter,asymmetric,uniform,20.0,90.0,709.5744680851063,854.5,406.95014329283407,94,1500,0
wouter,asymmetric,uniform,20.0,70.0,870.8921568627451,851.0,633.7830141671413,102,2110,0
swap,asymmetric,lognormal,20.0,2.2,951.4942528735633,847.0,527.152351517825,87,1904,0
wouter,asymmetric,uniform,20.0,30.0,905.7222222222222,810.5,407.5499816451238,108,1698,0
wouter,euclidean,uniform,20.0,50.0,1209.5714285714287,799.0,848.9762181873053,7,2481,0
wouter,asymmetric,lognormal,20.0,4.0,794.7906976744187,787.0,313.8365672946227,86,1366,0
wouter,asymmetric,lognormal,20.0,3.4,859.1578947368421,776.0,641.1962775105554,95,2290,0
scramble,euclidean,uniform,20.0,30.0,1197.3333333333333,755.0,1469.314919727331,3,2837,0
wouter,asymmetric,lognormal,20.0,1.0,770.5102040816327,754.5,399.1517873933917,98,1365,0
swap,asymmetric,uniform,20.0,65.0,967.3119266055046,750.0,541.4529270132851,109,1735,0
swap,asymmetric,lognormal,20.0,5.0,711.4852941176471,718.5,402.88558031441806,68,1350,0
swap,asymmetric,uniform,20.0,90.0,918.8660714285714,715.5,658.8487843506149,112,2067,0
scramble,asymmetric,lognormal,20.0,0.6,834.5,679.0,936.9558865460707,4,1980,0
scramble,asymmetric,lognormal,20.0,0.2,673.3333333333334,667.0,448.39268504292085,9,1534,0
swap,asymmetric,lognormal,20.0,4.8,647.8139534883721,665.5,344.5300810440013,86,1181,0
wouter,asymmetric,lognormal,20.0,3.6,637.3820224719101,657.0,316.9991219380575,89,1169,0
swap,asymmetric,uniform,20.0,85.0,571.7647058823529,654.0,280.6225551113552,68,916,0
scramble,asymmetric,lognormal,30.0,4.6,863.0,651.0,714.6432676517704,9,2006,0
scramble,asymmetric,lognormal,30.0,4.8,707.0,641.0,661.2363420139579,5,1659,0
wouter,asymmetric,uniform,20.0,15.0,636.8181818181819,636.5,253.6152802167252,44,1276,0
swap,asymmetric,lognormal,20.0,4.2,841.7777777777778,635.0,629.2583928721175,81,1878,0
swap,asymmetric,lognormal,20.0,2.4,653.8311688311688,617.0,329.6845941916305,77,1457,0
wouter,asymmetric,uniform,20.0,95.0,721.8723404255319,616.0,524.0059996761271,47,1950,0
scramble,asymmetric,lognormal,30.0,5.0,834.8,574.0,879.4959920317999,5,1914,0
scramble,asymmetric,uniform,20.0,30.0,472.0,537.5,313.1627195067907,10,1011,0
swap,asymmetric,lognormal,20.0,4.6,578.8783783783783,537.0,291.09067234472053,74,1098,0
wouter,asymmetric,lognormal,20.0,4.2,647.780487804878,534.0,425.3429415027113,82,1470,0
scramble,asymmetric,uniform,20.0,20.0,386.55555555555554,531.0,318.82758315079604,9,900,0
scramble,asymmetric,lognormal,20.0,1.4,432.75,514.0,326.45507603139924,4,703,0
scramble,asymmetric,lognormal,20.0,1.8,445.44444444444446,469.0,312.1574567069923,9,869,0
wouter,asymmetric,lognormal,20.0,3.8,600.8571428571429,456.5,409.75732291602134,84,1554,0
scramble,asymmetric,uniform,20.0,70.0,379.3333333333333,418.5,243.2099230431741,6,682,0
scramble,asymmetric,uniform,20.0,25.0,367.4,408.0,244.52157369033924,5,642,0
scramble,asymmetric,uniform,20.0,10.0,445.8333333333333,404.5,420.52986417930737,6,1043,0
wouter,asymmetric,lognormal,20.0,5.0,438.8095238095238,403.0,281.45387848506493,63,987,0
scramble,asymmetric,uniform,20.0,65.0,367.6666666666667,398.5,239.81255306188748,12,644,0
swap,asymmetric,lognormal,20.0,3.8,398.5531914893617,398.0,157.2385073578184,47,642,0
scramble,asymmetric,uniform,20.0,45.0,411.2,397.0,344.29594827706,5,948,0
swap,asymmetric,lognormal,20.0,4.4,416.9577464788732,391.0,257.1945031971894,71,926,0
scramble,asymmetric,uniform,20.0,100.0,436.2,380.5,327.95487494470945,10,1021,0
scramble,asymmetric,uniform,20.0,75.0,349.375,380.0,283.11781368993974,8,721,0
scramble,asymmetric,uniform,20.0,85.0,404.3076923076923,379.0,262.88983263444044,13,939,0
scramble,asymmetric,uniform,20.0,95.0,453.0,373.0,526.786755446913,8,1664,0
scramble,asymmetric,lognormal,20.0,1.2,428.9,366.0,301.56018378500244,10,1134,0
scramble,asymmetric,lognormal,20.0,3.0,286.44444444444446,350.0,152.94452516444576,9,453,0
scramble,asymmetric,lognormal,20.0,2.6,384.0,333.0,357.95530447249973,6,940,0
wouter,asymmetric,lognormal,20.0,2.0,440.0,332.0,339.5840593039275,76,1137,0
scramble,asymmetric,uniform,20.0,60.0,408.3636363636364,319.0,366.76648503571664,11,915,0
scramble,asymmetric,lognormal,20.0,1.6,364.625,316.5,264.12547748587764,8,758,0
scramble,asymmetric,lognormal,20.0,0.4,404.0,310.0,467.19374995819453,7,1394,0
scramble,asymmetric,uniform,20.0,50.0,409.1666666666667,300.0,359.84686557849386,6,1026,0
wouter,asymmetric,lognormal,20.0,2.6,320.089552238806,298.0,195.8746299211977,67,598,0
scramble,asymmetric,uniform,20.0,40.0,412.5,296.5,355.17359940497505,8,938,0
scramble,asymmetric,lognormal,20.0,2.0,370.6666666666667,296.0,291.23572926411344,9,986,0
scramble,asymmetric,lognormal,20.0,0.8,510.6666666666667,282.5,647.5528292476736,6,1717,0
scramble,asymmetric,uniform,20.0,80.0,480.5,264.0,527.5531252869231,6,1157,0
scramble,asymmetric,lognormal,30.0,1.8,2157.714285714286,243.0,3043.02999844375,7,8062,0
scramble,asymmetric,lognormal,20.0,3.6,263.8888888888889,237.0,222.72317147326882,9,713,0
scramble,asymmetric,uniform,20.0,90.0,379.5,234.0,341.9173876830484,6,884,0
wouter,asymmetric,lognormal,20.0,4.4,298.59183673469386,230.0,199.1312295915421,49,666,0
scramble,asymmetric,uniform,20.0,55.0,310.0,229.0,248.5513025514049,9,795,0
scramble,asymmetric,lognormal,20.0,2.4,316.0,219.5,282.46263975461045,8,896,0
scramble,asymmetric,lognormal,30.0,3.0,1285.1666666666667,212.0,2087.236777815748,6,5270,0
scramble,asymmetric,lognormal,20.0,3.2,209.9,199.5,138.09855578937498,10,433,0
scramble,asymmetric,lognormal,20.0,1.0,317.57142857142856,190.0,288.1272040510679,7,886,0
scramble,asymmetric,lognormal,20.0,3.8,173.3,186.5,132.28424782347378,10,405,0
scramble,asymmetric,lognormal,20.0,2.2,302.7,183.0,285.8857775017459,10,890,0
scramble,asymmetric,lognormal,20.0,4.2,251.33333333333334,180.5,252.0975039843741,12,871,0
scramble,asymmetric,uniform,20.0,5.0,192.75,168.5,184.42952583575115,4,434,0
scramble,asymmetric,uniform,20.0,35.0,345.85714285714283,166.0,370.3860277113724,7,921,0
